                                                                                                                                                                                 
{'loss': 3.5063, 'grad_norm': 9.375, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 3.4861, 'grad_norm': 10.3125, 'learning_rate': 6.25e-06, 'epoch': 0.0}
{'loss': 3.5679, 'grad_norm': 8.875, 'learning_rate': 1.25e-05, 'epoch': 0.0}
{'loss': 3.4299, 'grad_norm': 8.625, 'learning_rate': 1.8750000000000002e-05, 'epoch': 0.0}
{'loss': 3.5791, 'grad_norm': 8.625, 'learning_rate': 2.5e-05, 'epoch': 0.0}
{'loss': 3.3561, 'grad_norm': 6.03125, 'learning_rate': 3.125e-05, 'epoch': 0.0}
{'loss': 3.3423, 'grad_norm': 5.96875, 'learning_rate': 3.7500000000000003e-05, 'epoch': 0.0}
{'loss': 3.4139, 'grad_norm': 5.84375, 'learning_rate': 4.375e-05, 'epoch': 0.01}
{'loss': 3.3453, 'grad_norm': 4.71875, 'learning_rate': 5e-05, 'epoch': 0.01}
{'loss': 3.3431, 'grad_norm': 5.5625, 'learning_rate': 5.6250000000000005e-05, 'epoch': 0.01}
{'loss': 3.6016, 'grad_norm': 4.53125, 'learning_rate': 6.25e-05, 'epoch': 0.01}
{'loss': 3.3483, 'grad_norm': 3.5625, 'learning_rate': 6.875e-05, 'epoch': 0.01}
{'loss': 3.2512, 'grad_norm': 4.0, 'learning_rate': 7.500000000000001e-05, 'epoch': 0.01}
{'loss': 3.3272, 'grad_norm': 6.0, 'learning_rate': 8.125000000000001e-05, 'epoch': 0.01}
{'loss': 3.2297, 'grad_norm': 5.125, 'learning_rate': 8.75e-05, 'epoch': 0.01}
{'loss': 3.1865, 'grad_norm': 4.09375, 'learning_rate': 9.375e-05, 'epoch': 0.01}
{'loss': 3.4531, 'grad_norm': 12.875, 'learning_rate': 0.0001, 'epoch': 0.01}
{'loss': 3.2185, 'grad_norm': 6.3125, 'learning_rate': 9.999989528163742e-05, 'epoch': 0.01}
{'loss': 3.2028, 'grad_norm': 4.09375, 'learning_rate': 9.999958112698828e-05, 'epoch': 0.01}
