                                                                                                                                                                                                                                                                                                                                                                       
{'loss': 16.825, 'grad_norm': 135.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 16.7922, 'grad_norm': 127.5, 'learning_rate': 1.9354838709677416e-06, 'epoch': 0.0}
{'loss': 16.8546, 'grad_norm': 140.0, 'learning_rate': 3.870967741935483e-06, 'epoch': 0.0}
{'loss': 16.7162, 'grad_norm': 143.0, 'learning_rate': 5.8064516129032256e-06, 'epoch': 0.0}
{'loss': 16.9273, 'grad_norm': 136.0, 'learning_rate': 7.741935483870966e-06, 'epoch': 0.0}
{'loss': 16.7782, 'grad_norm': 130.0, 'learning_rate': 9.677419354838709e-06, 'epoch': 0.0}
{'loss': 16.6924, 'grad_norm': 131.0, 'learning_rate': 1.1612903225806451e-05, 'epoch': 0.0}
{'loss': 16.6936, 'grad_norm': 129.0, 'learning_rate': 1.3548387096774192e-05, 'epoch': 0.0}
{'loss': 16.5451, 'grad_norm': 130.0, 'learning_rate': 1.5483870967741933e-05, 'epoch': 0.0}
{'loss': 16.4229, 'grad_norm': 127.0, 'learning_rate': 1.7419354838709675e-05, 'epoch': 0.0}
{'loss': 16.1165, 'grad_norm': 123.0, 'learning_rate': 1.9354838709677417e-05, 'epoch': 0.0}
{'loss': 15.9842, 'grad_norm': 118.0, 'learning_rate': 2.129032258064516e-05, 'epoch': 0.0}
{'loss': 15.7901, 'grad_norm': 123.0, 'learning_rate': 2.3225806451612902e-05, 'epoch': 0.0}
{'loss': 15.5936, 'grad_norm': 115.5, 'learning_rate': 2.5161290322580645e-05, 'epoch': 0.0}
{'loss': 15.3945, 'grad_norm': 107.0, 'learning_rate': 2.7096774193548384e-05, 'epoch': 0.0}
{'loss': 15.2115, 'grad_norm': 103.5, 'learning_rate': 2.9032258064516126e-05, 'epoch': 0.0}
{'loss': 14.9319, 'grad_norm': 93.5, 'learning_rate': 3.0967741935483865e-05, 'epoch': 0.0}
{'loss': 14.611, 'grad_norm': 79.0, 'learning_rate': 3.290322580645161e-05, 'epoch': 0.0}
{'loss': 14.2611, 'grad_norm': 54.0, 'learning_rate': 3.483870967741935e-05, 'epoch': 0.0}
{'loss': 14.0245, 'grad_norm': 41.75, 'learning_rate': 3.677419354838709e-05, 'epoch': 0.0}
{'loss': 13.8162, 'grad_norm': 32.25, 'learning_rate': 3.8709677419354835e-05, 'epoch': 0.0}
{'loss': 13.678, 'grad_norm': 30.0, 'learning_rate': 4.0645161290322584e-05, 'epoch': 0.0}
