                                                                                                                                                                          
{'loss': 18.1237, 'grad_norm': 163.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 18.2312, 'grad_norm': 178.0, 'learning_rate': 1.2903225806451614e-06, 'epoch': 0.0}
{'loss': 18.1596, 'grad_norm': 177.0, 'learning_rate': 2.580645161290323e-06, 'epoch': 0.0}
{'loss': 18.158, 'grad_norm': 168.0, 'learning_rate': 3.870967741935484e-06, 'epoch': 0.0}
{'loss': 18.0203, 'grad_norm': 168.0, 'learning_rate': 5.161290322580646e-06, 'epoch': 0.0}
{'loss': 18.1578, 'grad_norm': 162.0, 'learning_rate': 6.451612903225806e-06, 'epoch': 0.0}
{'loss': 18.1144, 'grad_norm': 164.0, 'learning_rate': 7.741935483870968e-06, 'epoch': 0.0}
{'loss': 18.0901, 'grad_norm': 172.0, 'learning_rate': 9.03225806451613e-06, 'epoch': 0.0}
{'loss': 18.059, 'grad_norm': 162.0, 'learning_rate': 1.0322580645161291e-05, 'epoch': 0.0}
{'loss': 17.9366, 'grad_norm': 166.0, 'learning_rate': 1.1612903225806453e-05, 'epoch': 0.0}
{'loss': 17.9187, 'grad_norm': 157.0, 'learning_rate': 1.2903225806451613e-05, 'epoch': 0.0}
{'loss': 17.7574, 'grad_norm': 152.0, 'learning_rate': 1.4193548387096774e-05, 'epoch': 0.0}
{'loss': 17.6487, 'grad_norm': 148.0, 'learning_rate': 1.5483870967741936e-05, 'epoch': 0.0}
{'loss': 17.5224, 'grad_norm': 142.0, 'learning_rate': 1.6774193548387098e-05, 'epoch': 0.0}
{'loss': 17.3149, 'grad_norm': 136.0, 'learning_rate': 1.806451612903226e-05, 'epoch': 0.0}
{'loss': 17.1143, 'grad_norm': 118.5, 'learning_rate': 1.935483870967742e-05, 'epoch': 0.0}
{'loss': 16.9934, 'grad_norm': 113.0, 'learning_rate': 2.0645161290322582e-05, 'epoch': 0.0}
{'loss': 16.7791, 'grad_norm': 102.0, 'learning_rate': 2.1935483870967744e-05, 'epoch': 0.0}
{'loss': 16.6507, 'grad_norm': 97.5, 'learning_rate': 2.3225806451612906e-05, 'epoch': 0.0}
{'loss': 16.483, 'grad_norm': 89.0, 'learning_rate': 2.4516129032258064e-05, 'epoch': 0.0}
{'loss': 16.266, 'grad_norm': 82.0, 'learning_rate': 2.5806451612903226e-05, 'epoch': 0.0}
{'loss': 16.1558, 'grad_norm': 74.5, 'learning_rate': 2.709677419354839e-05, 'epoch': 0.0}
