                                                                                                                                                                          
{'loss': 18.1971, 'grad_norm': 172.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 18.0997, 'grad_norm': 165.0, 'learning_rate': 1.9354838709677416e-06, 'epoch': 0.0}
{'loss': 18.0938, 'grad_norm': 166.0, 'learning_rate': 3.870967741935483e-06, 'epoch': 0.0}
{'loss': 18.2046, 'grad_norm': 172.0, 'learning_rate': 5.8064516129032256e-06, 'epoch': 0.0}
{'loss': 18.1524, 'grad_norm': 171.0, 'learning_rate': 7.741935483870966e-06, 'epoch': 0.0}
{'loss': 18.0742, 'grad_norm': 161.0, 'learning_rate': 9.677419354838709e-06, 'epoch': 0.0}
{'loss': 18.032, 'grad_norm': 171.0, 'learning_rate': 1.1612903225806451e-05, 'epoch': 0.0}
{'loss': 18.0163, 'grad_norm': 164.0, 'learning_rate': 1.3548387096774192e-05, 'epoch': 0.0}
{'loss': 17.8493, 'grad_norm': 156.0, 'learning_rate': 1.5483870967741933e-05, 'epoch': 0.0}
{'loss': 17.6943, 'grad_norm': 150.0, 'learning_rate': 1.7419354838709675e-05, 'epoch': 0.0}
{'loss': 17.4673, 'grad_norm': 147.0, 'learning_rate': 1.9354838709677417e-05, 'epoch': 0.0}
{'loss': 17.258, 'grad_norm': 147.0, 'learning_rate': 2.129032258064516e-05, 'epoch': 0.0}
{'loss': 17.0476, 'grad_norm': 122.0, 'learning_rate': 2.3225806451612902e-05, 'epoch': 0.0}
{'loss': 16.8754, 'grad_norm': 111.5, 'learning_rate': 2.5161290322580645e-05, 'epoch': 0.0}
{'loss': 16.6606, 'grad_norm': 100.5, 'learning_rate': 2.7096774193548384e-05, 'epoch': 0.0}
{'loss': 16.5057, 'grad_norm': 88.5, 'learning_rate': 2.9032258064516126e-05, 'epoch': 0.0}
{'loss': 16.2526, 'grad_norm': 76.5, 'learning_rate': 3.0967741935483865e-05, 'epoch': 0.0}
{'loss': 15.9442, 'grad_norm': 69.0, 'learning_rate': 3.290322580645161e-05, 'epoch': 0.0}
{'loss': 15.6317, 'grad_norm': 58.0, 'learning_rate': 3.483870967741935e-05, 'epoch': 0.0}
{'loss': 15.3989, 'grad_norm': 41.5, 'learning_rate': 3.677419354838709e-05, 'epoch': 0.0}
{'loss': 15.1128, 'grad_norm': 36.5, 'learning_rate': 3.8709677419354835e-05, 'epoch': 0.0}
{'loss': 14.9026, 'grad_norm': 33.75, 'learning_rate': 4.0645161290322584e-05, 'epoch': 0.0}
{'loss': 14.6416, 'grad_norm': 38.5, 'learning_rate': 4.258064516129032e-05, 'epoch': 0.0}
{'loss': 14.502, 'grad_norm': 27.125, 'learning_rate': 4.4516129032258055e-05, 'epoch': 0.0}
