Memory footprint: 287.91 MB
                                                                                                                                                                          
{'loss': 18.2887, 'grad_norm': 171.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 18.2189, 'grad_norm': 175.0, 'learning_rate': 9.823182711198428e-08, 'epoch': 0.0}
{'loss': 18.1171, 'grad_norm': 174.0, 'learning_rate': 1.9646365422396855e-07, 'epoch': 0.0}
{'loss': 18.0634, 'grad_norm': 165.0, 'learning_rate': 2.946954813359528e-07, 'epoch': 0.0}
{'loss': 18.1618, 'grad_norm': 175.0, 'learning_rate': 3.929273084479371e-07, 'epoch': 0.0}
{'loss': 18.2251, 'grad_norm': 164.0, 'learning_rate': 4.911591355599213e-07, 'epoch': 0.0}
{'loss': 18.2504, 'grad_norm': 179.0, 'learning_rate': 5.893909626719056e-07, 'epoch': 0.0}
{'loss': 18.1994, 'grad_norm': 165.0, 'learning_rate': 6.8762278978389e-07, 'epoch': 0.0}
{'loss': 18.1088, 'grad_norm': 177.0, 'learning_rate': 7.858546168958742e-07, 'epoch': 0.0}
{'loss': 18.1398, 'grad_norm': 173.0, 'learning_rate': 8.840864440078584e-07, 'epoch': 0.0}
{'loss': 18.0979, 'grad_norm': 159.0, 'learning_rate': 9.823182711198427e-07, 'epoch': 0.0}
{'loss': 18.1039, 'grad_norm': 166.0, 'learning_rate': 1.0805500982318269e-06, 'epoch': 0.0}
{'loss': 18.1911, 'grad_norm': 176.0, 'learning_rate': 1.1787819253438111e-06, 'epoch': 0.0}
{'loss': 18.1005, 'grad_norm': 156.0, 'learning_rate': 1.2770137524557956e-06, 'epoch': 0.0}
{'loss': 18.0935, 'grad_norm': 165.0, 'learning_rate': 1.37524557956778e-06, 'epoch': 0.0}
{'loss': 18.1662, 'grad_norm': 171.0, 'learning_rate': 1.473477406679764e-06, 'epoch': 0.0}
{'loss': 18.2603, 'grad_norm': 179.0, 'learning_rate': 1.5717092337917484e-06, 'epoch': 0.0}
{'loss': 18.1974, 'grad_norm': 158.0, 'learning_rate': 1.6699410609037327e-06, 'epoch': 0.0}
{'loss': 18.2285, 'grad_norm': 168.0, 'learning_rate': 1.7681728880157169e-06, 'epoch': 0.0}
{'loss': 18.1423, 'grad_norm': 178.0, 'learning_rate': 1.8664047151277013e-06, 'epoch': 0.0}
{'loss': 18.1222, 'grad_norm': 159.0, 'learning_rate': 1.9646365422396853e-06, 'epoch': 0.0}
{'loss': 18.1316, 'grad_norm': 169.0, 'learning_rate': 2.06286836935167e-06, 'epoch': 0.0}
{'loss': 18.0746, 'grad_norm': 171.0, 'learning_rate': 2.1611001964636538e-06, 'epoch': 0.0}
{'loss': 18.0627, 'grad_norm': 170.0, 'learning_rate': 2.2593320235756384e-06, 'epoch': 0.0}
{'loss': 18.2509, 'grad_norm': 171.0, 'learning_rate': 2.3575638506876222e-06, 'epoch': 0.0}
{'loss': 18.1253, 'grad_norm': 169.0, 'learning_rate': 2.455795677799607e-06, 'epoch': 0.0}
{'loss': 18.0957, 'grad_norm': 166.0, 'learning_rate': 2.554027504911591e-06, 'epoch': 0.0}
{'loss': 18.0749, 'grad_norm': 170.0, 'learning_rate': 2.6522593320235753e-06, 'epoch': 0.0}
{'loss': 18.1773, 'grad_norm': 168.0, 'learning_rate': 2.75049115913556e-06, 'epoch': 0.0}
{'loss': 18.1054, 'grad_norm': 174.0, 'learning_rate': 2.848722986247544e-06, 'epoch': 0.0}
{'loss': 18.1098, 'grad_norm': 171.0, 'learning_rate': 2.946954813359528e-06, 'epoch': 0.0}
{'loss': 18.1619, 'grad_norm': 172.0, 'learning_rate': 3.0451866404715122e-06, 'epoch': 0.0}
{'loss': 17.986, 'grad_norm': 176.0, 'learning_rate': 3.143418467583497e-06, 'epoch': 0.0}
{'loss': 18.0589, 'grad_norm': 165.0, 'learning_rate': 3.241650294695481e-06, 'epoch': 0.0}
{'loss': 18.1248, 'grad_norm': 173.0, 'learning_rate': 3.3398821218074653e-06, 'epoch': 0.0}
{'loss': 18.0346, 'grad_norm': 173.0, 'learning_rate': 3.43811394891945e-06, 'epoch': 0.0}
{'loss': 18.0007, 'grad_norm': 162.0, 'learning_rate': 3.5363457760314338e-06, 'epoch': 0.0}
{'loss': 18.0696, 'grad_norm': 171.0, 'learning_rate': 3.634577603143418e-06, 'epoch': 0.0}
{'loss': 18.0212, 'grad_norm': 172.0, 'learning_rate': 3.7328094302554026e-06, 'epoch': 0.0}
